"AnimalCode","AnimalID","sex"
"Bin/Kom","Komie","M"
"Gese","Gesels","F"
"LBlind","Lblind","F"
"LBlind","Little blind","F"
"Hlo","Hlo","M"
"Bin/Kom","Bin/Kom","M"
"Nooi","Nooiens","F"
"LBlind","Little blind/JL","F"
"Vin","Vincent","M"
"Gla","Glastonbury",""
"Ula","Ulanbaatar",""
"Bin/Kom","Bingo/JM","M"
"Gese","Gesels (Little boks/JG)","F"
"Gese","Gesels (Little boks/JG)",""
"Gla","Glastonburry","M"
"Ham","Hamlet/SMA","M"
"Unw","Unwavo","M"
"New male","New Male","M"
"Nooi","Nooi","F"
"Qui","Quito/Santiago","M"
"Sty","Styx (Little Evil)","M"
"Tor","Toronto","M"
"Tor","Tor","M"
"Ula","Ulaanbaatar",""
"Sty","Styx","M"
"Baby Pear 2015","Baby Pearl 2015",""
"New male","New male","M"
"Col","Colorado","M"
"Baby Pear 2015","Baby Pear 2015","unk"
"Deli","Baby Dian 2012","F"
"Col","Baby Cami 2011","unk"
"Vale","Valerie","F"
"Vin","Vance","F"
"Digb","Digby","F"
"Deli","Delilah (Rainbow)","F"
"Jac","Little Jackie (Jackie)","M"
"Ham","Hamlet","M"
"Qui","Quito","M"
"Vin","Vincent (Darkface)","M"
"Digb","Digby (Rhiannon)","F"
"Col","Collin (Imposter)","M"
"Vale","Valerie (Squishy)","F"
"Joe","Joe (same ind as Liam)","M"
"Unw","Unwabo","M"
"Hlo","Hlokoloza","M"
"Gubh","Gubha","F"
"Gubh","Gubane","M"
"Ndi","Ndiza","M"
"Ndi","Ndiza","F"
"Ndi","Ndiki","F"
"Jac","Jack","M"
"Joe","Joe (same ind as Liam and Kenneth)","M"
