AnimalCode,AnimalID,sex
Baby Pear 2015,Baby Pearl 2015,
Bin,Bin,M
Kom,Kom,M
Col,Colorado,M
Baby Cami 2011,Baby Cami 2011,unk
Col,Collin (Imposter),M
Deli,Delilah (Rainbow),F
Digb,Digby (Rhiannon),F
Gese,Gesels,F
Gla,Glastonbury,M
Gubh,Gubha,F
Guba,Gubane,M
Ham,Hamlet,M
Hlo,Hlokoloza,M
Jac,Jack,M
Joe,Joe,M
LBlind,LBlind,F
Ndi,Ndiza,M
Ndi,Ndiki,M
New male,New Male,M
Nooi,Nooiens,F
Qui,Quito,M
Sty,Styx (Little Evil),M
Tor,Toronto,M
Ula,Ulaanbaatar,M
Unw,Unwabo,M
Vale,Valerie,M
Vale,Valerie (Squishy),F
Vin,Vincent,M
