"AnimalID","AnimalCode","sex"
"Afrikaans","Afr","M"
"Afrikaans","Afri","M"
"Aantreklik","Aant","M"
"Aantreklik","Aan",""
"Rustig","Rus",""
"Rustig","Rust","F"
"Little blind/JL","LBlind","F"
"Little blind/JL","Lblind","F"
"Baby Pann 2015","Baby Pann 2015","unk"
"Baby Pann 2015","Baby Pann 2019","unk"
"Tunis","Tuin","M"
"Tunis","Tun","M"
"Zinkwazi","Zink","F"
"Zinkwazi","Zin","M"
"Baby Cami 2011","Baby Cami 2011","unk"
"Baby Cami 2011","Col","unk"
"Vance","Van","F"
"Vance","Vin","F"
"Vance","Van","M"
"Diana","Dian","F"
"Diana","Diana","F"
